From	To
Q92888	9138
P08185	866
Q6DT37	55561
Q8IWE2	92689
Q9Y2D8	117178
B4DED4	84264
Q6L8G5	387273
Q9BWT1	83879
Q00056	3201
Q7Z7D3	79679
Q16795	4704
A0A0C4DGV0	100101467
Q9NZC2	54209
P41181	359
A0FGR9	83850
Q9BZ76	79937
P41597	729230
F8W9S8	91133
Q9NP62	8521
Q96CF2	92421
Q9Y223	10020
Q8WU20	10818
Q7Z3Z3	440822
O75604	9099
B7ZVY7	984
Q9Y5Y6	6768
K7EKC1	2354
O43175	26227
Q9Y5L3	954
Q99969	5919
Q8N6Q1	145942
Q9P2G1	54467
Q9H2F5	80314
Q13017	394
P01178	5020
O95551	51567
A0A087WYB9	283985
P05452	7123
Q9BPU9	80776
Q14DL9	23601
Q5JTW2	84131
Q6ZS81	57705
Q01973	4919
Q9UHX3	30817
Q14246	2015
Q96SL1	84925
A0A087WVZ6	23613
O43299	9907
Q504Y2	91461
Q08397	4016
Q9Y232	9425
Q9UHW5	51184
A0A087WW00	7321
Q9HCJ3	55225
B4DFF3	1201
Q13177	5062
Q9NYY8	22868
O14647	1106
P32246	1230
Q86TB3	115701
P58294	84432
A7XYQ1	55084
Q6ZMT4	80853
E9PCV4	56848
Q8N8R3	123096
Q12893	11070
Q9BY76	51129
Q99801	4824
Q9Y673	29880
P62888	6156
Q8N1A0	125113
O60674	3717
O60880	4068
Q99814	2034
Q96KC8	64215
Q96Q15	23049
P02549	6708
Q8IY21	55601
Q6P3X3	55622
Q8NBH2	339855
Q9BXJ4	114899
Q96MS0	64221
P23760	5077
Q9NW97	55092
P07864	3948
Q92526	10693
A0A087X2I7	4261
Q6NYC1	23210
Q6YP21	56267
Q92902	3257
Q02318	1593
Q8TAD4	64924
P59025	132112
Q9NYJ7	10683
P19387	5432
Q53RY4	200634
F5H5A1	197322
Q9BY49	55825
P34981	7201
Q9UBD9	23529
Q9NUR3	55321
Q6P4Q7	26504
F5H686	79785
P29377	795
Q6DKJ4	64359
P61604	3336
P28070	5692
Q8WVV9	92906
O15397	10526
Q8N6N7	414149
A8MZB2	51126
P20273	933
Q8TC57	130951
Q9Y6W6	11221
O00418	29904
Q92917	27238
Q96PD2	131566
Q9UJU5	27022
Q6NSJ2	653583
P32929	1491
Q8NEH6	55329
P51589	1573
A0A087WV24	1644
Q7L945	199692
H3BRL8	51495
Q1L5Z9	164832
Q8TCT6	121665
Q9H981	93973
A0AV96	54502
P37840	6622
Q9ULJ7	57182
P00747	5340
Q5T4S7	23352
Q9NRZ5	56895
O43280	11181
Q15057	23527
A0A087WZC2	6928
Q96KS9	83648
A1X283	285590
Q9NVH1	55735
Q15238	5673
Q8WTP8	64782
Q99595	10440
Q92503	6397
A6NGC4	727910
Q9BQC3	1802
Q9Y5F6	56097
Q19T08	641700
Q9C0F1	80817
Q8IZ41	158158
P00846	4508
Q7Z2W7	79054
Q9UI43	29960
Q86SH2	326340
B4DT06	64132
A2A2V5	400120
Q9P015	29088
P16144	3691
P78363	24
Q6AWC2	80014
Q9NRN9	29081
Q7L7V1	55760
Q8IWD5	162387
P61225	5912
O75815	8412
G3V2U7	97
A0A0A0MTI2	10603
P26373	6137
Q9BSK2	84275
P06858	4023
O43516	7456
P30874	6752
Q96IU4	84836
P54219	6570
A0A087WZQ7	63908
